timestamp,event,player,color,points,total_p1,total_p2,round
2026-01-15T09:18:27.260855,score_board,2,roze,1,0,0,1
2026-01-15T09:18:27.499667,score_hole,2,roze,3,0,0,1
2026-01-15T09:18:27.620444,score_board,2,roze,1,0,0,1
2026-01-15T09:18:28.442935,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:28.588323,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:28.589371,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:28.589814,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:28.590103,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:29.070732,score_board,2,rood,1,0,0,1
2026-01-15T09:18:30.392899,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:30.393573,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:30.393827,score_hole,1,blauw,3,0,0,1
2026-01-15T09:18:30.538275,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:30.538711,score_board,1,blauw,1,0,0,1
2026-01-15T09:18:42.431588,end_round,,,0,7,0,2
2026-01-15T09:18:43.364302,end_round,,,0,7,0,3
2026-01-15T09:18:43.633714,end_round,,,0,7,0,4
2026-01-15T09:18:43.770393,end_round,,,0,7,0,5
2026-01-15T09:18:43.904309,end_round,,,0,7,0,6
2026-01-15T09:18:44.172372,end_round,,,0,7,0,7
2026-01-15T09:18:44.303121,end_round,,,0,7,0,8
2026-01-15T09:18:44.441376,end_round,,,0,7,0,9
2026-01-15T09:19:01.538108,score_board,2,roze,1,7,0,9
2026-01-15T09:19:01.538516,score_board,2,roze,1,7,0,9
2026-01-15T09:19:01.538796,score_board,2,roze,1,7,0,9
2026-01-15T09:19:01.833946,score_board,2,roze,1,7,0,9
2026-01-15T09:19:47.640807,reset,,,0,0,0,1
2026-01-15T09:19:54.656221,score_board,2,roze,1,0,0,1
2026-01-15T09:19:57.976598,score_board,1,blauw,1,0,0,1
2026-01-15T09:19:59.350450,score_hole,1,blauw,3,0,0,1
2026-01-15T09:22:40.593628,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:40.907148,score_hole,2,roze,3,0,0,1
2026-01-15T09:22:41.239721,score_hole,2,roze,3,0,0,1
2026-01-15T09:22:43.850597,score_board,1,wit,1,0,0,1
2026-01-15T09:22:44.178131,score_board,2,rood,1,0,0,1
2026-01-15T09:22:44.340078,score_board,2,rood,1,0,0,1
2026-01-15T09:22:44.504628,score_board,2,rood,1,0,0,1
2026-01-15T09:22:44.505610,score_board,2,roze,1,0,0,1
2026-01-15T09:22:45.171185,score_board,2,roze,1,0,0,1
2026-01-15T09:22:45.714801,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:45.715712,score_hole,1,blauw,3,0,0,1
2026-01-15T09:22:45.716820,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:47.001190,score_board,2,roze,1,0,0,1
2026-01-15T09:22:47.002524,score_board,2,roze,1,0,0,1
2026-01-15T09:22:47.169053,score_board,1,wit,1,0,0,1
2026-01-15T09:22:47.169417,score_board,2,roze,1,0,0,1
2026-01-15T09:22:47.678871,score_board,2,roze,1,0,0,1
2026-01-15T09:22:47.679247,score_board,2,roze,1,0,0,1
2026-01-15T09:22:47.849748,score_board,1,wit,1,0,0,1
2026-01-15T09:22:48.199900,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:48.200262,score_hole,1,blauw,3,0,0,1
2026-01-15T09:22:48.200968,score_board,1,wit,1,0,0,1
2026-01-15T09:22:48.371447,score_board,1,wit,1,0,0,1
2026-01-15T09:22:49.311682,score_board,1,wit,1,0,0,1
2026-01-15T09:22:49.883818,score_hole,1,blauw,3,0,0,1
2026-01-15T09:22:49.885296,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:49.890900,score_board,1,wit,1,0,0,1
2026-01-15T09:22:50.272908,score_board,2,rood,1,0,0,1
2026-01-15T09:22:51.238220,score_board,2,roze,1,0,0,1
2026-01-15T09:22:51.588399,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:51.588817,score_board,1,wit,1,0,0,1
2026-01-15T09:22:52.234009,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:52.235144,score_board,1,wit,1,0,0,1
2026-01-15T09:22:53.074166,score_board,1,wit,1,0,0,1
2026-01-15T09:22:53.444781,score_board,1,wit,1,0,0,1
2026-01-15T09:22:53.614265,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:53.969535,score_board,1,blauw,1,0,0,1
2026-01-15T09:22:53.970510,score_board,2,roze,1,0,0,1
2026-01-15T09:22:54.936463,score_hole,2,rood,3,0,0,1
2026-01-15T09:23:51.346198,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:51.503980,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:51.504947,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:55.069799,score_board,2,roze,1,0,0,1
2026-01-15T09:23:55.070189,score_hole,2,roze,3,0,0,1
2026-01-15T09:23:55.234263,score_board,2,rood,1,0,0,1
2026-01-15T09:23:56.252564,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:56.255120,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:56.256014,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:56.457550,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:56.458034,score_hole,1,blauw,3,0,0,1
2026-01-15T09:23:56.458281,score_hole,1,blauw,3,0,0,1
2026-01-15T09:23:56.816558,score_board,1,blauw,1,0,0,1
2026-01-15T09:23:58.470392,score_board,2,roze,1,0,0,1
2026-01-15T09:23:58.470799,score_board,2,roze,1,0,0,1
2026-01-15T09:23:58.634578,score_hole,2,roze,3,0,0,1
2026-01-15T09:28:04.190503,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:04.190924,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:04.191811,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:04.366560,score_hole,1,wit,3,0,0,1
2026-01-15T09:28:04.567787,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:04.568773,score_board,2,roze,1,0,0,1
2026-01-15T09:28:04.758108,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:04.758710,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:04.907018,score_hole,2,rood,3,0,0,1
2026-01-15T09:28:04.907837,score_board,2,roze,1,0,0,1
2026-01-15T09:28:05.215609,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:06.233108,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:07.437558,score_board,1,blauw,1,0,0,1
