timestamp,event,player,color,points,total_score_p1,total_score_p2,round
2026-03-25T08:28:46.056514,manual_plus,1,,1,7,11,5
2026-03-25T08:28:46.503564,manual_plus,1,,1,8,11,5
2026-03-25T08:28:46.799986,manual_plus,1,,1,9,11,5
2026-03-25T08:28:47.106479,manual_plus,1,,1,10,11,5
2026-03-25T08:28:47.701524,manual_plus,1,,1,11,11,5
2026-03-25T08:28:48.281966,manual_plus,1,,1,12,11,5
2026-03-25T08:28:48.855427,manual_plus,1,,1,13,11,5
2026-03-25T08:28:49.294246,manual_plus,1,,1,14,11,5
2026-03-25T08:28:49.603897,manual_plus,1,,1,15,11,5
2026-03-25T08:28:50.047184,manual_plus,1,,1,16,11,5
2026-03-25T08:28:50.343577,manual_plus,1,,1,17,11,5
2026-03-25T08:28:50.795628,manual_plus,1,,1,18,11,5
2026-03-25T08:28:51.446531,manual_plus,2,,1,18,12,5
2026-03-25T08:28:51.941875,manual_plus,2,,1,18,13,5
2026-03-25T08:28:52.799911,round_end,,,0,18,13,6
2026-03-25T08:28:53.978656,manual_plus,1,,1,19,13,6
2026-03-25T08:28:54.282854,manual_plus,1,,1,20,13,6
